Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
2.158882958,5.786719799,26.05166435,-16.83992767,31.55564142
2.168878958,5.129253387,26.48093987,-16.28986931,31.51046268
2.178874958,4.459819794,26.88328743,-15.66862297,31.43416742
2.188871958,3.749495029,27.39074135,-15.17425346,31.53679427
2.198867958,2.99113822,27.74629402,-14.78853226,31.58329347
2.208863958,2.202518702,28.08711433,-14.23398972,31.56491
2.218860958,1.34866488,28.43723488,-13.65167236,31.57314338
2.228856958,0.5262836218,28.81917,-13.07260513,31.64987423
2.238852958,-0.1546528339,29.06516457,-12.54609489,31.65773532
2.248849958,-0.6562628746,29.14757729,-12.06808853,31.55393325
2.258845958,-1.008569241,29.13178062,-11.79234123,31.44419129
2.268841958,-1.270941496,29.11929131,-11.66698837,31.39533462
2.278838958,-1.482239723,29.14850807,-11.45639229,31.35413022
2.288834958,-1.605144262,29.27020836,-11.09762955,31.34452053
2.298830958,-1.79139781,29.53552055,-10.69596672,31.46362637
2.308827958,-1.91311264,29.7819767,-10.20991516,31.54153617
2.318823958,-2.01499629,30.02113152,-9.665222168,31.60292814
2.328819958,-2.15138483,30.2639637,-9.033998489,31.65673837
2.338816958,-2.246234179,30.46661186,-8.400186539,31.68316809
2.348812958,-2.353974819,30.78621483,-7.695327759,31.82059538
2.358808958,-2.469357967,31.03646278,-6.95416832,31.90172735
2.368805958,-2.56885004,31.16866493,-6.318082809,31.90615669
2.378801958,-2.599535465,31.25172234,-5.653588295,31.86519723
2.388797958,-2.653744698,31.40690804,-5.18478775,31.94242097
2.398794958,-2.817707062,31.51267433,-4.879086494,32.01239762
2.408790958,-2.992798805,31.55043983,-4.669843674,32.03427131
2.418786958,-3.220300198,31.54837227,-4.419446945,32.01877008
2.428783958,-3.510093689,31.52783012,-4.18636322,31.99766346
2.438779958,-3.80313015,31.57717705,-4.236356735,32.08626852
2.448775958,-4.19066143,31.60673332,-4.326418877,32.17553628
2.458772958,-4.500959396,31.55468178,-4.404262543,32.17691884
2.468768958,-4.89594698,31.48929405,-4.47097683,32.17973851
2.478764958,-5.262335777,31.4624424,-4.485478401,32.21330433
2.488761958,-5.650254726,31.5076313,-4.588602066,32.33746245
2.498757958,-6.04353714,31.5246067,-4.620059013,32.42946368
2.508753958,-6.370427132,31.54329109,-4.55112648,32.50037395
2.518750958,-6.762953758,31.55742836,-4.375245094,32.56918172
2.528746958,-7.11314106,31.59649467,-4.142432213,32.65111018
2.538742958,-7.476232529,31.6694622,-3.812146187,32.76249911
2.548739958,-7.89388752,31.67172813,-3.482423782,32.82589067
2.558735958,-8.237057686,31.58712959,-3.138234138,32.79396879
2.568731958,-8.614417076,31.57470894,-2.811792374,32.8493014
2.578728958,-8.948214531,31.56531334,-2.381098747,32.89542796
2.588724958,-9.280726433,31.65200996,-2.011992455,33.04587314
2.598720958,-9.548326492,31.55740547,-1.516039848,33.00513226
2.608717958,-9.890270233,31.50829887,-1.036709785,33.04035578
2.618713958,-10.27463818,31.49218178,-0.5653305054,33.13073047
2.628709958,-10.67371082,31.40069389,-0.02639579773,33.16522842
2.638706958,-11.13413525,31.2406826,0.3367300034,33.16719168
2.648702958,-11.55447197,30.98993111,0.7169418335,33.08165138
2.658698958,-11.92943954,30.82667351,0.9669632912,33.06857036
2.668695958,-12.31620884,30.72031212,1.107852936,33.11576535
2.678691958,-12.66493225,30.56162453,1.258235931,33.10583876
2.688687958,-12.99444485,30.36708641,1.403406143,33.0603249
2.698684958,-13.26894093,30.27818489,1.412783146,33.08820379
2.708680958,-13.59634304,30.20008278,1.382234573,33.14839538
2.718676958,-13.93878078,30.06352043,1.363606453,33.1657096
2.728673958,-14.26101303,29.86005211,1.424564838,33.12142191
2.738669958,-14.63390827,29.60832787,1.339598656,33.05448343
2.748665958,-15.10077763,29.40291023,1.127737522,33.07319771
2.758662958,-15.54752064,29.16401482,1.037071705,33.06570241
2.768658958,-16.06336594,28.98132896,0.8590660095,33.14645001
2.778654958,-16.5156517,28.70863533,0.7539110184,33.12885261
2.788651958,-16.89144135,28.44154549,0.5507678986,33.08391823
2.798647958,-17.15726471,28.1187191,0.2922277451,32.94115197
2.808643958,-17.51385498,27.88270378,0.0003032684326,32.92689306
2.818639958,-17.84757996,27.65551567,-0.2535839081,32.91546691
2.828636958,-18.12260056,27.38968468,-0.3112258911,32.84387826
2.838632958,-18.33050919,27.13121605,-0.3414287567,32.74487784
2.848628958,-18.53659058,26.88852119,-0.2822914124,32.66002833
2.858625958,-18.73868179,26.73314476,-0.2769441605,32.64775524
2.868621958,-18.98055649,26.60245705,-0.2890453339,32.68081689
2.878617958,-19.19195938,26.3204937,-0.3735628128,32.57666715
2.888614958,-19.40548706,26.05090523,-0.3960666656,32.48660432
2.898610958,-19.62421417,25.8061161,-0.3897218704,32.4224813
2.908606958,-19.86007309,25.61697197,-0.6575632095,32.4204279
2.918603958,-20.02584839,25.43188667,-1.094031334,32.38846041
2.928599958,-20.16626358,25.17958641,-1.420779228,32.29099522
2.938595958,-20.25822067,24.82087517,-1.728240967,32.0851705
2.948592958,-20.39882278,24.58500862,-2.129221916,32.01668637
2.958588958,-20.56578064,24.38233376,-2.461338043,31.99230716
2.968584958,-20.69104385,24.14074898,-2.842547417,31.92138989
2.978581958,-20.83877945,23.97229576,-3.252270699,31.9296564
2.988577958,-20.94042969,23.66270638,-3.659029007,31.80902013
2.998573958,-21.08706665,23.27364159,-4.156669617,31.67972025
